Meso-D3,NMP-D3,PreNeural-D3,p0/p1-D3,EarlyVentral-D3,Meso-D3.2,NMP-D3.2,PreNeural-D3.2,p0/p1-D3.2,EarlyVentral-D3.2,Meso-D3.4,NMP-D3.4,PreNeural-D3.4,p0/p1-D3.4,EarlyVentral-D3.4,Meso-D3.6,NMP-D3.6,PreNeural-D3.6,p0/p1-D3.6,EarlyVentral-D3.6,Meso-D3.8,NMP-D3.8,PreNeural-D3.8,p0/p1-D3.8,EarlyVentral-D3.8,Meso-D4,NMP-D4,PreNeural-D4,p0/p1-D4,EarlyVentral-D4
0.05,0.852,0.0,0.0,0.0,0.05,0.696,0.05,0.0,0.0,0.07,0.28,0.178,0.0,0.0,0.136,0.096,0.444,0.02,0.0,0.166,0.03,0.416,0.112,0.0,0.178,0.01,0.226,0.334,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.678,0.06,0.0,0.0,0.064,0.288,0.226,0.0,0.0,0.128,0.116,0.436,0.028,0.0,0.16,0.05,0.418,0.15,0.0,0.172,0.012,0.26,0.338,0.0
0.05,0.852,0.0,0.0,0.0,0.054,0.712,0.062,0.0,0.0,0.064,0.316,0.214,0.0,0.0,0.086,0.124,0.432,0.028,0.002,0.1,0.06,0.346,0.128,0.018,0.112,0.022,0.136,0.372,0.042
0.05,0.852,0.0,0.0,0.0,0.052,0.684,0.052,0.0,0.0,0.07,0.266,0.176,0.0,0.0,0.114,0.096,0.41,0.022,0.002,0.14,0.03,0.27,0.126,0.012,0.146,0.002,0.118,0.376,0.03
0.05,0.852,0.0,0.0,0.0,0.054,0.622,0.058,0.0,0.0,0.09,0.294,0.224,0.0,0.0,0.142,0.116,0.312,0.03,0.006,0.18,0.046,0.238,0.15,0.042,0.204,0.022,0.132,0.34,0.076
0.05,0.852,0.0,0.0,0.0,0.05,0.648,0.068,0.0,0.0,0.06,0.3,0.242,0.0,0.0,0.084,0.116,0.412,0.02,0.006,0.098,0.044,0.33,0.14,0.03,0.102,0.022,0.172,0.326,0.094
0.05,0.852,0.0,0.0,0.0,0.05,0.636,0.054,0.0,0.0,0.092,0.276,0.236,0.0,0.0,0.142,0.108,0.414,0.02,0.0,0.186,0.04,0.34,0.148,0.0,0.194,0.018,0.198,0.34,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.688,0.052,0.0,0.0,0.082,0.264,0.184,0.0,0.0,0.146,0.08,0.428,0.018,0.0,0.188,0.024,0.312,0.122,0.0,0.202,0.006,0.126,0.406,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.7,0.058,0.0,0.0,0.062,0.308,0.18,0.0,0.0,0.114,0.114,0.41,0.016,0.0,0.154,0.036,0.34,0.14,0.0,0.17,0.012,0.16,0.364,0.0
0.05,0.852,0.0,0.0,0.0,0.056,0.634,0.052,0.0,0.0,0.09,0.282,0.232,0.0,0.0,0.14,0.092,0.452,0.024,0.0,0.192,0.036,0.376,0.146,0.0,0.202,0.018,0.214,0.378,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.662,0.046,0.0,0.0,0.074,0.258,0.196,0.0,0.0,0.15,0.078,0.368,0.022,0.0,0.192,0.02,0.288,0.156,0.0,0.214,0.004,0.094,0.406,0.0
0.05,0.852,0.0,0.0,0.0,0.054,0.634,0.05,0.0,0.0,0.094,0.272,0.208,0.0,0.0,0.134,0.106,0.404,0.014,0.0,0.174,0.03,0.29,0.106,0.0,0.2,0.006,0.15,0.332,0.002
0.05,0.852,0.0,0.0,0.0,0.05,0.688,0.052,0.0,0.0,0.064,0.254,0.198,0.0,0.0,0.152,0.084,0.438,0.026,0.0,0.194,0.022,0.4,0.14,0.0,0.206,0.002,0.224,0.376,0.0
0.05,0.852,0.0,0.0,0.0,0.05,0.66,0.046,0.0,0.0,0.076,0.328,0.214,0.0,0.0,0.124,0.16,0.378,0.016,0.0,0.154,0.066,0.32,0.122,0.0,0.176,0.032,0.182,0.354,0.0
0.05,0.852,0.0,0.0,0.0,0.052,0.694,0.05,0.0,0.0,0.078,0.334,0.202,0.0,0.0,0.128,0.144,0.406,0.016,0.0,0.172,0.068,0.4,0.112,0.0,0.202,0.028,0.234,0.294,0.0
0.05,0.852,0.0,0.0,0.0,0.054,0.648,0.042,0.0,0.0,0.07,0.26,0.204,0.0,0.0,0.13,0.098,0.382,0.014,0.0,0.168,0.034,0.196,0.132,0.006,0.18,0.012,0.092,0.4,0.016
0.05,0.852,0.0,0.0,0.0,0.052,0.636,0.038,0.0,0.0,0.076,0.242,0.228,0.0,0.0,0.138,0.08,0.428,0.012,0.0,0.174,0.02,0.272,0.118,0.01,0.192,0.01,0.13,0.354,0.026
0.05,0.852,0.0,0.0,0.0,0.054,0.63,0.064,0.0,0.0,0.082,0.248,0.198,0.0,0.0,0.136,0.086,0.436,0.018,0.0,0.158,0.034,0.23,0.116,0.0,0.166,0.014,0.092,0.406,0.0
0.05,0.852,0.0,0.0,0.0,0.054,0.652,0.054,0.0,0.0,0.094,0.268,0.2,0.0,0.0,0.124,0.102,0.432,0.022,0.0,0.156,0.032,0.328,0.136,0.0,0.162,0.016,0.154,0.398,0.002
0.05,0.852,0.0,0.0,0.0,0.052,0.648,0.052,0.0,0.0,0.072,0.268,0.188,0.0,0.0,0.132,0.096,0.336,0.01,0.0,0.158,0.038,0.208,0.114,0.014,0.174,0.008,0.078,0.344,0.054
0.05,0.852,0.0,0.0,0.0,0.056,0.654,0.052,0.0,0.0,0.074,0.288,0.194,0.0,0.0,0.13,0.114,0.386,0.022,0.0,0.168,0.052,0.262,0.104,0.002,0.184,0.02,0.138,0.374,0.002
